1,ADA,NORMAN,MN,56510
2,ADAMS,MOWER,MN,55909
3,ADOLPH,SAINT LOUIS,MN,55701
4,ADRIAN,NOBLES,MN,56110
5,AFTON,WASHINGTON,MN,55001
6,AITKIN,AITKIN,MN,56431
7,AKELEY,HUBBARD,MN,56433
8,ALBANY,STEARNS,MN,56307
9,ALBERT LEA,FREEBORN,MN,56007
10,ALBERTA,STEVENS,MN,56207
11,ALBERTVILLE,WRIGHT,MN,55301
12,ALBORN,SAINT LOUIS,MN,55702
13,ALDEN,FREEBORN,MN,56009
14,ALDRICH,WADENA,MN,56434
15,ALEXANDRIA,DOUGLAS,MN,56308
16,ALMELUND,CHISAGO,MN,55002
17,ALPHA,JACKSON,MN,56111
18,ALTURA,WINONA,MN,55910
19,ALVARADO,MARSHALL,MN,56710
20,AMBOY,BLUE EARTH,MN,56010
21,ANDOVER,ANOKA,MN,55304
22,ANGLE INLET,LAKE OF THE WOODS,MN,56711
23,ANGORA,SAINT LOUIS,MN,55703
24,ANNANDALE,WRIGHT,MN,55302
25,ANOKA,ANOKA,MN,55303
26,APPLETON,SWIFT,MN,56208
27,ARCO,LINCOLN,MN,56113
28,ARGYLE,MARSHALL,MN,56713
29,ARLINGTON,SIBLEY,MN,55307
30,ASHBY,GRANT,MN,56309
31,ASKOV,PINE,MN,55704
32,ATWATER,KANDIYOHI,MN,56209
33,AUDUBON,BECKER,MN,56511
34,AURORA,SAINT LOUIS,MN,55705
35,AUSTIN,MOWER,MN,55912
36,AVOCA,MURRAY,MN,56114
37,AVON,STEARNS,MN,56310
38,BABBITT,SAINT LOUIS,MN,55706
39,BACKUS,CASS,MN,56435
40,BADGER,ROSEAU,MN,56714
41,BAGLEY,CLEARWATER,MN,56621
42,BALATON,LYON,MN,56115
43,BARNESVILLE,CLAY,MN,56514
44,BARNUM,CARLTON,MN,55707
45,BARRETT,GRANT,MN,56311
46,BARRY,BIG STONE,MN,56210
47,BATTLE LAKE,OTTER TAIL,MN,56515
48,BAUDETTE,LAKE OF THE WOODS,MN,56623
49,BAXTER,CROW WING,MN,56425
50,BAYPORT,WASHINGTON,MN,55003
51,BEARDSLEY,BIG STONE,MN,56211
52,BEAVER BAY,LAKE,MN,55601
53,BEAVER CREEK,ROCK,MN,56116
54,BECKER,SHERBURNE,MN,55308
55,BEJOU,MAHNOMEN,MN,56516
56,BELGRADE,STEARNS,MN,56312
57,BELLE PLAINE,SCOTT,MN,56011
58,BELLINGHAM,LAC QUI PARLE,MN,56212
59,BELTRAMI,POLK,MN,56517
60,BELVIEW,REDWOOD,MN,56214
61,BEMIDJI,BELTRAMI,MN,56601
62,BEMIDJI,BELTRAMI,MN,56619
63,BENA,CASS,MN,56626
64,BENEDICT,HUBBARD,MN,56436
65,BENSON,SWIFT,MN,56215
66,BERTHA,TODD,MN,56437
67,BETHEL,ANOKA,MN,55005
68,BIG FALLS,KOOCHICHING,MN,56627
69,BIG LAKE,SHERBURNE,MN,55309
70,BIGELOW,NOBLES,MN,56117
71,BIGFORK,ITASCA,MN,56628
72,BINGHAM LAKE,COTTONWOOD,MN,56118
73,BIRCHDALE,KOOCHICHING,MN,56629
74,BIRD ISLAND,RENVILLE,MN,55310
75,BIWABIK,SAINT LOUIS,MN,55708
76,BLACKDUCK,BELTRAMI,MN,56630
77,BLOMKEST,KANDIYOHI,MN,56216
78,BLOOMING PRAIRIE,STEELE,MN,55917
79,BLUE EARTH,FARIBAULT,MN,56013
80,BLUFFTON,OTTER TAIL,MN,56518
81,BOCK,MILLE LACS,MN,56313
82,BORUP,NORMAN,MN,56519
83,BOVEY,ITASCA,MN,55709
84,BOWLUS,MORRISON,MN,56314
85,BOWSTRING,ITASCA,MN,56631
86,BOYD,LAC QUI PARLE,MN,56218
87,BRAHAM,ISANTI,MN,55006
88,BRAINERD,CROW WING,MN,56401
89,BRANDON,DOUGLAS,MN,56315
90,BRECKENRIDGE,WILKIN,MN,56520
91,BREWSTER,NOBLES,MN,56119
92,BRICELYN,FARIBAULT,MN,56014
93,BRIMSON,SAINT LOUIS,MN,55602
94,BRITT,SAINT LOUIS,MN,55710
95,BROOK PARK,PINE,MN,55007
96,BROOKS,RED LAKE,MN,56715
97,BROOKSTON,SAINT LOUIS,MN,55711
98,BROOTEN,STEARNS,MN,56316
99,BROWERVILLE,TODD,MN,56438
100,BROWNS VALLEY,TRAVERSE,MN,56219
101,BROWNSDALE,MOWER,MN,55918
102,BROWNSVILLE,HOUSTON,MN,55919
103,BROWNTON,MCLEOD,MN,55312
104,BRUNO,PINE,MN,55712
105,BUCKMAN,MORRISON,MN,56317
106,BUFFALO,WRIGHT,MN,55313
107,BUFFALO LAKE,RENVILLE,MN,55314
108,BUHL,SAINT LOUIS,MN,55713
109,BURNSVILLE,DAKOTA,MN,55306
110,BURNSVILLE,DAKOTA,MN,55337
111,BURTRUM,TODD,MN,56318
112,BUTTERFIELD,WATONWAN,MN,56120
113,BYRON,OLMSTED,MN,55920
114,CALEDONIA,HOUSTON,MN,55921
115,CALLAWAY,BECKER,MN,56521
116,CALUMET,ITASCA,MN,55716
117,CAMBRIDGE,ISANTI,MN,55008
118,CAMPBELL,WILKIN,MN,56522
119,CANBY,YELLOW MEDICINE,MN,56220
120,CANNON FALLS,GOODHUE,MN,55009
121,CANTON,FILLMORE,MN,55922
122,CANYON,SAINT LOUIS,MN,55717
123,CARLOS,DOUGLAS,MN,56319
124,CARLTON,CARLTON,MN,55718
125,CARVER,CARVER,MN,55315
126,CASS LAKE,CASS,MN,56633
127,CASTLE ROCK,DAKOTA,MN,55010
128,CEDAR,ANOKA,MN,55011
129,CENTER CITY,CHISAGO,MN,55012
130,CEYLON,MARTIN,MN,56121
131,CHAMPLIN,HENNEPIN,MN,55316
132,CHANDLER,MURRAY,MN,56122
133,CHANHASSEN,CARVER,MN,55317
134,CHASKA,CARVER,MN,55318
135,CHATFIELD,FILLMORE,MN,55923
136,CHISAGO CITY,CHISAGO,MN,55013
137,CHISHOLM,SAINT LOUIS,MN,55719
138,CHOKIO,STEVENS,MN,56221
139,CIRCLE PINES,ANOKA,MN,55014
140,CLARA CITY,CHIPPEWA,MN,56222
141,CLAREMONT,DODGE,MN,55924
142,CLARISSA,TODD,MN,56440
143,CLARKFIELD,YELLOW MEDICINE,MN,56223
144,CLARKS GROVE,FREEBORN,MN,56016
145,CLEAR LAKE,SHERBURNE,MN,55319
146,CLEARBROOK,CLEARWATER,MN,56634
147,CLEARWATER,WRIGHT,MN,55320
148,CLEMENTS,REDWOOD,MN,56224
149,CLEVELAND,LE SUEUR,MN,56017
150,CLIMAX,POLK,MN,56523
151,CLINTON,BIG STONE,MN,56225
152,CLITHERALL,OTTER TAIL,MN,56524
153,CLONTARF,SWIFT,MN,56226
154,CLOQUET,CARLTON,MN,55720
155,COHASSET,ITASCA,MN,55721
156,COKATO,WRIGHT,MN,55321
157,COLD SPRING,STEARNS,MN,56320
158,COLERAINE,ITASCA,MN,55722
159,COLLEGEVILLE,STEARNS,MN,56321
160,COLOGNE,CARVER,MN,55322
161,COMFREY,BROWN,MN,56019
162,COMSTOCK,CLAY,MN,56525
163,CONGER,FREEBORN,MN,56020
164,COOK,SAINT LOUIS,MN,55723
165,CORRELL,BIG STONE,MN,56227
166,COSMOS,MEEKER,MN,56228
167,COTTAGE GROVE,WASHINGTON,MN,55016
168,COTTON,SAINT LOUIS,MN,55724
169,COTTONWOOD,LYON,MN,56229
170,COURTLAND,NICOLLET,MN,56021
171,CRANE LAKE,SAINT LOUIS,MN,55725
172,CROMWELL,CARLTON,MN,55726
173,CROOKSTON,POLK,MN,56716
174,CROSBY,CROW WING,MN,56441
175,CROSSLAKE,CROW WING,MN,56442
176,CRYSTAL BAY,HENNEPIN,MN,55323
177,CURRIE,MURRAY,MN,56123
178,CUSHING,MORRISON,MN,56443
179,CYRUS,POPE,MN,56323
180,DAKOTA,WINONA,MN,55925
181,DALBO,ISANTI,MN,55017
182,DALTON,OTTER TAIL,MN,56324
183,DANUBE,RENVILLE,MN,56230
184,DANVERS,SWIFT,MN,56231
185,DARFUR,WATONWAN,MN,56022
186,DARWIN,MEEKER,MN,55324
187,DASSEL,MEEKER,MN,55325
188,DAWSON,LAC QUI PARLE,MN,56232
189,DAYTON,HENNEPIN,MN,55327
190,DEER CREEK,OTTER TAIL,MN,56527
191,DEER RIVER,ITASCA,MN,56636
192,DEERWOOD,CROW WING,MN,56444
193,DELANO,WRIGHT,MN,55328
194,DELAVAN,FARIBAULT,MN,56023
195,DENNISON,GOODHUE,MN,55018
196,DENT,OTTER TAIL,MN,56528
197,DETROIT LAKES,BECKER,MN,56501
198,DETROIT LAKES,BECKER,MN,56502
199,DEXTER,MOWER,MN,55926
200,DILWORTH,CLAY,MN,56529
201,DODGE CENTER,DODGE,MN,55927
202,DONALDSON,KITTSON,MN,56720
203,DONNELLY,STEVENS,MN,56235
204,DOVER,OLMSTED,MN,55929
205,DOVRAY,MURRAY,MN,56125
206,DULUTH,SAINT LOUIS,MN,55801
207,DULUTH,SAINT LOUIS,MN,55802
208,DULUTH,SAINT LOUIS,MN,55803
209,DULUTH,SAINT LOUIS,MN,55804
210,DULUTH,SAINT LOUIS,MN,55805
211,DULUTH,SAINT LOUIS,MN,55806
212,DULUTH,SAINT LOUIS,MN,55807
213,DULUTH,SAINT LOUIS,MN,55808
214,DULUTH,SAINT LOUIS,MN,55810
215,DULUTH,SAINT LOUIS,MN,55811
216,DULUTH,SAINT LOUIS,MN,55812
217,DULUTH,SAINT LOUIS,MN,55814
218,DULUTH,SAINT LOUIS,MN,55815
219,DULUTH,SAINT LOUIS,MN,55816
220,DUMONT,TRAVERSE,MN,56236
221,DUNDAS,RICE,MN,55019
222,DUNNELL,MARTIN,MN,56127
223,EAGLE BEND,TODD,MN,56446
224,EAGLE LAKE,BLUE EARTH,MN,56024
225,EAST GRAND FORKS,POLK,MN,56721
226,EASTON,FARIBAULT,MN,56025
227,ECHO,YELLOW MEDICINE,MN,56237
228,EDEN PRAIRIE,HENNEPIN,MN,55344
229,EDEN PRAIRIE,HENNEPIN,MN,55346
230,EDEN PRAIRIE,HENNEPIN,MN,55347
231,EDEN VALLEY,MEEKER,MN,55329
232,EDGERTON,PIPESTONE,MN,56128
233,EFFIE,ITASCA,MN,56639
234,EITZEN,HOUSTON,MN,55931
235,ELBOW LAKE,GRANT,MN,56531
236,ELGIN,WABASHA,MN,55932
237,ELIZABETH,OTTER TAIL,MN,56533
238,ELK RIVER,SHERBURNE,MN,55330
239,ELKO NEW MARKET,SCOTT,MN,55020
240,ELKO NEW MARKET,SCOTT,MN,55054
241,ELKTON,MOWER,MN,55933
242,ELLENDALE,STEELE,MN,56026
243,ELLSWORTH,NOBLES,MN,56129
244,ELMORE,FARIBAULT,MN,56027
245,ELROSA,STEARNS,MN,56325
246,ELY,SAINT LOUIS,MN,55731
247,ELYSIAN,LE SUEUR,MN,56028
248,EMBARRASS,SAINT LOUIS,MN,55732
249,EMILY,CROW WING,MN,56447
250,EMMONS,FREEBORN,MN,56029
251,ERHARD,OTTER TAIL,MN,56534
252,ERSKINE,POLK,MN,56535
253,ESKO,CARLTON,MN,55733
254,ESSIG,BROWN,MN,56030
255,EUCLID,POLK,MN,56722
256,EVANSVILLE,DOUGLAS,MN,56326
257,EVELETH,SAINT LOUIS,MN,55734
258,EXCELSIOR,HENNEPIN,MN,55331
259,EYOTA,OLMSTED,MN,55934
260,FAIRFAX,RENVILLE,MN,55332
261,FAIRMONT,MARTIN,MN,56031
262,FARIBAULT,RICE,MN,55021
263,FARMINGTON,DAKOTA,MN,55024
264,FARWELL,DOUGLAS,MN,56327
265,FEDERAL DAM,CASS,MN,56641
266,FELTON,CLAY,MN,56536
267,FERGUS FALLS,OTTER TAIL,MN,56537
268,FERGUS FALLS,OTTER TAIL,MN,56538
269,FERTILE,POLK,MN,56540
270,FIFTY LAKES,CROW WING,MN,56448
271,FINLAND,LAKE,MN,55603
272,FINLAYSON,PINE,MN,55735
273,FISHER,POLK,MN,56723
274,FLENSBURG,MORRISON,MN,56328
275,FLOM,NORMAN,MN,56541
276,FLOODWOOD,SAINT LOUIS,MN,55736
277,FOLEY,BENTON,MN,56329
278,FORBES,SAINT LOUIS,MN,55738
279,FOREST LAKE,WASHINGTON,MN,55025
280,FORESTON,MILLE LACS,MN,56330
281,FORT RIPLEY,CROW WING,MN,56449
282,FOSSTON,POLK,MN,56542
283,FOUNTAIN,FILLMORE,MN,55935
284,FOXHOME,WILKIN,MN,56543
285,FRANKLIN,RENVILLE,MN,55333
286,FRAZEE,BECKER,MN,56544
287,FREEBORN,FREEBORN,MN,56032
288,FREEPORT,STEARNS,MN,56331
289,FRONTENAC,GOODHUE,MN,55026
290,FROST,FARIBAULT,MN,56033
291,FULDA,MURRAY,MN,56131
292,GARDEN CITY,BLUE EARTH,MN,56034
293,GARFIELD,DOUGLAS,MN,56332
294,GARRISON,CROW WING,MN,56450
295,GARVIN,LYON,MN,56132
296,GARY,NORMAN,MN,56545
297,GATZKE,MARSHALL,MN,56724
298,GAYLORD,SIBLEY,MN,55334
299,GENEVA,FREEBORN,MN,56035
300,GEORGETOWN,CLAY,MN,56546
301,GHENT,LYON,MN,56239
302,GIBBON,SIBLEY,MN,55335
303,GILBERT,SAINT LOUIS,MN,55741
304,GILMAN,BENTON,MN,56333
305,GLENCOE,MCLEOD,MN,55336
306,GLENVILLE,FREEBORN,MN,56036
307,GLENWOOD,POPE,MN,56334
308,GLYNDON,CLAY,MN,56547
309,GONVICK,CLEARWATER,MN,56644
310,GOOD THUNDER,BLUE EARTH,MN,56037
311,GOODHUE,GOODHUE,MN,55027
312,GOODLAND,ITASCA,MN,55742
313,GOODRIDGE,PENNINGTON,MN,56725
314,GRACEVILLE,BIG STONE,MN,56240
315,GRANADA,MARTIN,MN,56039
316,GRAND MARAIS,COOK,MN,55604
317,GRAND MEADOW,MOWER,MN,55936
318,GRAND PORTAGE,COOK,MN,55605
319,GRAND RAPIDS,ITASCA,MN,55730
320,GRAND RAPIDS,ITASCA,MN,55744
321,GRANDY,ISANTI,MN,55029
322,GRANITE FALLS,YELLOW MEDICINE,MN,56241
323,GRASSTON,PINE,MN,55030
324,GREEN ISLE,SIBLEY,MN,55338
325,GREENBUSH,ROSEAU,MN,56726
326,GREENWALD,STEARNS,MN,56335
327,GREY EAGLE,TODD,MN,56336
328,GROVE CITY,MEEKER,MN,56243
329,GRYGLA,MARSHALL,MN,56727
330,GULLY,POLK,MN,56646
331,HACKENSACK,CASS,MN,56452
332,HALLOCK,KITTSON,MN,56728
333,HALMA,KITTSON,MN,56729
334,HALSTAD,NORMAN,MN,56548
335,HAMBURG,CARVER,MN,55339
336,HAMEL,HENNEPIN,MN,55340
337,HAMPTON,DAKOTA,MN,55031
338,HANCOCK,STEVENS,MN,56244
339,HANLEY FALLS,YELLOW MEDICINE,MN,56245
340,HANOVER,WRIGHT,MN,55341
341,HANSKA,BROWN,MN,56041
342,HARDWICK,ROCK,MN,56134
343,HARMONY,FILLMORE,MN,55939
344,HARRIS,CHISAGO,MN,55032
345,HARTLAND,FREEBORN,MN,56042
346,HASTINGS,DAKOTA,MN,55033
347,HAWLEY,CLAY,MN,56549
348,HAYFIELD,DODGE,MN,55940
349,HAYWARD,FREEBORN,MN,56043
350,HECTOR,RENVILLE,MN,55342
351,HENDERSON,SIBLEY,MN,56044
352,HENDRICKS,LINCOLN,MN,56136
353,HENDRUM,NORMAN,MN,56550
354,HENNING,OTTER TAIL,MN,56551
355,HENRIETTE,PINE,MN,55036
356,HERMAN,GRANT,MN,56248
357,HERON LAKE,JACKSON,MN,56137
358,HEWITT,TODD,MN,56453
359,HIBBING,SAINT LOUIS,MN,55746
360,HILL CITY,AITKIN,MN,55748
361,HILLMAN,MORRISON,MN,56338
362,HILLS,ROCK,MN,56138
363,HINCKLEY,PINE,MN,55037
364,HINES,BELTRAMI,MN,56647
365,HITTERDAL,CLAY,MN,56552
366,HOFFMAN,GRANT,MN,56339
367,HOKAH,HOUSTON,MN,55941
368,HOLDINGFORD,STEARNS,MN,56340
369,HOLLAND,PIPESTONE,MN,56139
370,HOLLANDALE,FREEBORN,MN,56045
371,HOLLOWAY,SWIFT,MN,56249
372,HOLMES CITY,DOUGLAS,MN,56341
373,HOLYOKE,CARLTON,MN,55749
374,HOMER,WINONA,MN,55942
375,HOPE,STEELE,MN,56046
376,HOPKINS,HENNEPIN,MN,55305
377,HOPKINS,HENNEPIN,MN,55343
378,HOUSTON,HOUSTON,MN,55943
379,HOVLAND,COOK,MN,55606
380,HOWARD LAKE,WRIGHT,MN,55349
381,HOYT LAKES,SAINT LOUIS,MN,55750
382,HUGO,WASHINGTON,MN,55038
383,HUMBOLDT,KITTSON,MN,56731
384,HUNTLEY,FARIBAULT,MN,56047
385,HUTCHINSON,MCLEOD,MN,55350
386,IHLEN,PIPESTONE,MN,56140
387,INTERNATIONAL FALLS,KOOCHICHING,MN,56649
388,INVER GROVE HEIGHTS,DAKOTA,MN,55076
389,INVER GROVE HEIGHTS,DAKOTA,MN,55077
390,IONA,MURRAY,MN,56141
391,IRON,SAINT LOUIS,MN,55751
392,IRONTON,CROW WING,MN,56455
393,ISABELLA,LAKE,MN,55607
394,ISANTI,ISANTI,MN,55040
395,ISLE,MILLE LACS,MN,56342
396,IVANHOE,LINCOLN,MN,56142
397,JACKSON,JACKSON,MN,56143
398,JACOBSON,ITASCA,MN,55752
399,JANESVILLE,WASECA,MN,56048
400,JASPER,ROCK,MN,56144
401,JEFFERS,COTTONWOOD,MN,56145
402,JENKINS,CROW WING,MN,56456
403,JORDAN,SCOTT,MN,55352
404,KABETOGAMA,KOOCHICHING,MN,56669
405,KANARANZI,NOBLES,MN,56146
406,KANDIYOHI,KANDIYOHI,MN,56251
407,KARLSTAD,KITTSON,MN,56732
408,KASOTA,LE SUEUR,MN,56050
409,KASSON,DODGE,MN,55944
410,KEEWATIN,ITASCA,MN,55753
411,KELLIHER,BELTRAMI,MN,56650
412,KELLOGG,WABASHA,MN,55945
413,KENNEDY,KITTSON,MN,56733
414,KENNETH,ROCK,MN,56147
415,KENSINGTON,DOUGLAS,MN,56343
416,KENT,WILKIN,MN,56553
417,KENYON,GOODHUE,MN,55946
418,KERKHOVEN,SWIFT,MN,56252
419,KERRICK,PINE,MN,55756
420,KETTLE RIVER,CARLTON,MN,55757
421,KIESTER,FARIBAULT,MN,56051
422,KILKENNY,RICE,MN,56052
423,KIMBALL,STEARNS,MN,55353
424,KINNEY,SAINT LOUIS,MN,55758
425,KNIFE RIVER,LAKE,MN,55609
426,LA CRESCENT,HOUSTON,MN,55947
427,LA SALLE,WATONWAN,MN,56056
428,LAFAYETTE,NICOLLET,MN,56054
429,LAKE BENTON,LINCOLN,MN,56149
430,LAKE BRONSON,KITTSON,MN,56734
431,LAKE CITY,WABASHA,MN,55041
432,LAKE CRYSTAL,BLUE EARTH,MN,56055
433,LAKE ELMO,WASHINGTON,MN,55042
434,LAKE GEORGE,HUBBARD,MN,56458
435,LAKE HUBERT,CROW WING,MN,56459
436,LAKE LILLIAN,KANDIYOHI,MN,56253
437,LAKE PARK,BECKER,MN,56554
438,LAKE WILSON,MURRAY,MN,56151
439,LAKEFIELD,JACKSON,MN,56150
440,LAKELAND,WASHINGTON,MN,55043
441,LAKEVILLE,DAKOTA,MN,55044
442,LAMBERTON,REDWOOD,MN,56152
443,LANCASTER,KITTSON,MN,56735
444,LANESBORO,FILLMORE,MN,55949
445,LANSING,MOWER,MN,55950
446,LAPORTE,HUBBARD,MN,56461
447,LASTRUP,MORRISON,MN,56344
448,LE CENTER,LE SUEUR,MN,56057
449,LE ROY,MOWER,MN,55951
450,LE SUEUR,LE SUEUR,MN,56058
451,LENGBY,MAHNOMEN,MN,56651
452,LEONARD,CLEARWATER,MN,56652
453,LEOTA,NOBLES,MN,56153
454,LESTER PRAIRIE,MCLEOD,MN,55354
455,LEWISTON,WINONA,MN,55952
456,LEWISVILLE,WATONWAN,MN,56060
457,LINDSTROM,CHISAGO,MN,55045
458,LISMORE,NOBLES,MN,56155
459,LITCHFIELD,MEEKER,MN,55355
460,LITTLE FALLS,MORRISON,MN,56345
461,LITTLEFORK,KOOCHICHING,MN,56653
462,LOMAN,KOOCHICHING,MN,56654
463,LONG LAKE,HENNEPIN,MN,55356
464,LONG PRAIRIE,TODD,MN,56347
465,LONGVILLE,CASS,MN,56655
466,LONSDALE,RICE,MN,55046
467,LORETTO,HENNEPIN,MN,55357
468,LORETTO,HENNEPIN,MN,55598
469,LOWRY,POPE,MN,56349
470,LUCAN,REDWOOD,MN,56255
471,LUTSEN,COOK,MN,55612
472,LUVERNE,ROCK,MN,56156
473,LYLE,MOWER,MN,55953
474,LYND,LYON,MN,56157
475,MABEL,FILLMORE,MN,55954
476,MADELIA,WATONWAN,MN,56062
477,MADISON,LAC QUI PARLE,MN,56256
